Region,Group,Dimension,Party,Vote_Pct_Regional
Scotland,Ipsos 55+,ipsos_age,LD,11.65
Scotland,Ipsos 55+,ipsos_age,Lab,29.83
Scotland,Ipsos 55+,ipsos_age,Reform,7.5
Scotland,Ipsos 55+,ipsos_age,SNP,30.01
Scotland,NS-SeC Higher,yg_nsec,Con,11.49
Scotland,NS-SeC Higher,yg_nsec,Green,5.68
Scotland,NS-SeC Higher,yg_nsec,IND,1.46
Scotland,NS-SeC Higher,yg_nsec,LD,11.45
Scotland,NS-SeC Higher,yg_nsec,Lab,35.89
Scotland,NS-SeC Higher,yg_nsec,Reform,5.63
Scotland,NS-SeC Higher,yg_nsec,SNP,28.39
Scotland,NS-SeC Intermediate,yg_nsec,Con,13.61
Scotland,NS-SeC Intermediate,yg_nsec,Green,3.71
Scotland,NS-SeC Intermediate,yg_nsec,IND,1.5
Scotland,NS-SeC Intermediate,yg_nsec,LD,11.52
Scotland,NS-SeC Intermediate,yg_nsec,Lab,33.61
Scotland,NS-SeC Intermediate,yg_nsec,Reform,6.72
Scotland,NS-SeC Intermediate,yg_nsec,SNP,29.33
Scotland,NS-SeC Routine,yg_nsec,Con,11.23
Scotland,NS-SeC Routine,yg_nsec,Green,3.63
Scotland,NS-SeC Routine,yg_nsec,IND,1.53
Scotland,NS-SeC Routine,yg_nsec,LD,5.91
Scotland,NS-SeC Routine,yg_nsec,Lab,38.19
Scotland,NS-SeC Routine,yg_nsec,Reform,7.7
Scotland,NS-SeC Routine,yg_nsec,SNP,31.81
Scotland,No Degree,education,Con,5.81
Scotland,No Degree,education,Green,2.19
Scotland,No Degree,education,IND,1.51
Scotland,No Degree,education,LD,13.77
Scotland,No Degree,education,Lab,36.23
Scotland,No Degree,education,Reform,9.01
Scotland,No Degree,education,SNP,31.49
Scotland,Non-White,eth_binary,Con,2.4
Scotland,Non-White,eth_binary,Green,0.9
Scotland,Non-White,eth_binary,IND,2.19
Scotland,Non-White,eth_binary,LD,28.76
Scotland,Non-White,eth_binary,Lab,29.67
Scotland,Non-White,eth_binary,Reform,0.41
Scotland,Non-White,eth_binary,SNP,35.67
Scotland,Owner,tenure,Con,4.8
Scotland,Owner,tenure,Green,3.0
Scotland,Owner,tenure,IND,1.64
Scotland,Owner,tenure,LD,13.73
Scotland,Owner,tenure,Lab,37.17
Scotland,Owner,tenure,Reform,8.3
